MEETPUNT_IDENTIFICATIE,lat,lng,name
Amerongen beneden,51.97451109606015,5.404085135217132,Amerongen beneden
Amerongen boven,51.97585798287909,5.411653798814316,Amerongen boven
Arnhem,51.975408079313304,5.9120229670368065,Arnhem
De Steeg haven,52.0101198950142,6.04483506677761,De Steeg haven
Dodewaard,51.900511633177075,5.630517936815897,Dodewaard
Doesburg brug,52.01953206756163,6.1304878507360225,Doesburg brug
Doorslag,52.032299519917295,5.089851126427293,Doorslag
Driel beneden,51.96299228001494,5.802605883482019,Driel beneden
Driel boven,51.96583988903134,5.810635335223922,Driel boven
Empel beneden,51.74008333333407,5.332888888893751,Empel beneden
Empel boven,51.738527777778586,5.3339722222271,Empel boven
Gennep,51.697366159064316,5.956381310952267,Gennep
Grave beneden,51.77040733699326,5.736215014091377,Grave beneden
Grave boven,51.76887413913595,5.73794164767694,Grave boven
Grebbe,51.950605342203644,5.591719008626419,Grebbe
Hagestein beneden,51.99329109169283,5.132114924898792,Hagestein beneden
Hagestein boven,51.98988375850115,5.135919570021798,Hagestein boven
Heesbeen,51.73584847812497,5.124738051022937,Heesbeen
Hondsbroekse Pleij West,51.95993333333777,5.950238888904527,Hondsbroekse Pleij West
"Huissen, Looveer",51.933324231040416,5.9621076025358395,"Huissen, Looveer"
IJsselkop,51.951315683325106,5.951598522545376,IJsselkop
Keizersveer,51.72018562569195,4.894436710212875,Keizersveer
Lith boven,51.80937845599377,5.4540489022401495,Lith boven
Lith dorp,51.8096583454986,5.432733653113596,Lith dorp
Lobith,51.85035485251675,6.103599442962396,Lobith
Lobith Haven,51.85846111111743,6.084744444464337,Lobith Haven
Megen dorp,51.826877800198154,5.566351413437505,Megen dorp
Mook,51.75445524937381,5.874113542094962,Mook
Nieuwegein,52.02272937957119,5.113007175423573,Nieuwegein
Nijmegen haven,51.85207173480584,5.851656011583296,Nijmegen haven
Pannerdense Kop,51.869855996691925,6.042779522170544,Pannerdense Kop
Schoonhoven,51.9430912061406,4.851270770387874,Schoonhoven
Sint Andries Waal,51.79860770178867,5.35704865547527,Sint Andries Waal
Tiel Kanaal,51.90438588294283,5.452592062387019,Tiel Kanaal
Tiel Waal,51.90053719698411,5.455579580192098,Tiel Waal
Vuren,51.82211526383004,5.016467237689298,Vuren
Werkendam buiten,51.806041040147306,4.8768244581989855,Werkendam buiten
"Westervoort, IJsseldijkerwaard",51.97020528387453,5.962106984521618,"Westervoort, IJsseldijkerwaard"
Wijk bij Duurstede kanaal,51.968828260066324,5.315898711704567,Wijk bij Duurstede kanaal
Zaltbommel,51.81515363390238,5.244645400931335,Zaltbommel
